Section Name,Question Text,Response,Brand
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",receive parts for different dealerships and manufacturer,H
Condition of Shipments,What three product types tend to have the most damages to the product?,Collision,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","Damage, mispicks, orders intended for other dealers",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Collision class parts, chemicals",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,steering racks seat cushions/tracks,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",different dealer,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",Mispicks and parts intended for other dealers,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"The panel style window regulators, strut, rotors, and wiper blades. (4 came to mind)",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Bumper covers, body side molding, HVAC assemblies.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",Receive parts for a different dealership.,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",NO PACKING SLIPS/SHIPMENT PACKED VERY SLOPPY,H
Condition of Shipments,What three product types tend to have the most damages to the product?,SHEET METAL/BUMPER COVERS/GRILLES,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,SHEET METAL/ BUMPER COVERS/GRILLES,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Glass, bumpers, fenders.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Glass, bumpers, fenders.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mispicks.,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,HEAVY PRODUCTS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,LONG BOXED PRODUCTS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"collision class parts, chemicals",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"GLASS, MOULDING,PLASTIC ITEMS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICK,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"COMPRESSORS, HOODS AND FENDERS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"COMPRESSORS, HOODS AND FENDERS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICKS UNDER AND OVERPICKS AND PARTS FOR OTHER DEALERS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","MISPICKS/UNERPICKS FOR AIR AND CABIN FILTERS.  RECEIVING PARTS FOR OTHER DEALERS, THIS IS HAPPENING MORE FREQUENTLY AS OF LATE.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","MISPICKS , SHORTAGES ARE A PROBLEM, OR MY PATS GETTING DELIVERED TO SOMEONE ELSE.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"ITS A MIXTURE OF BOTH, PACKAGES OFTEN BEAT UP, OPENED, PACKED VERY POORLY WITH LITTLE PROTECTION.",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"ANY SHEETMETAL, BUMPER COVERS ,AND ANY HEAD OR TAL LAMPS",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"BUMPER COVERS, MOULDINGS, SMALL PARTS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"BUMPER COVERS, MOULDINGS, SMALL PARTS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",RECEIVE PARTS FOR OTHER DEALERS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,A/C / STARTER /  ELETRIC PARTS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","mispicks / receive parts for different dealership, etc",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,SHAFT ASSY-DRIVE /  GEAR ASSY-STEERING  AND SOMES LAMP HERE AND THERE,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Wiper blades, heavier by volume parts (brake pads, hubs), oil filters",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Glass, wiper blades, electrical components (connectors, fragile levers)",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Roofs bumpers, moldings",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,Roofs and bumpers,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",receive parts for a different dealer,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"SHEET METAL, BUMPER COVERS LAMPS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"SHEET METAL, BUMPERS, LAMPS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",WRONG SHIP LABEL ATTACHED TO WRONG PARTS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,hubs or anything heavy that uses basically paper boxes to ship in,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",damaged parts (fragile material and sheet metal),H
Condition of Shipments,What three product types tend to have the most damages to the product?,"sheet metal and core supports, due to what looks like playing catch and dropping parts, or tossing off a truck while unloading.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"fenders, hoods and door panels",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"bumper covers, door panels and hoods",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,WINDOW REGULATORS BRAKE PADS STEERING GEARS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,RADIATOR SURROUNDS / CARRIERS DOOR SKINS / SHELLS INTAKE MANIFOLDS BUMPER ABSORBERS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",DIFFERENT DEALERSHIPS. SOME TIMES WE GET PARTS FOR OTHER STATES BUT IT MAY BE THE CARRIER BECAUSE WE GET LOCAL PARTS FOR OTHERS DEALERS AS WELL.,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"ac compressors, seat tracks, and condensers",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"ac compressors, windshields, condensers",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","receiving parts from a different dealership, NO FINDS, delayed shipments in accordance with shipping times stated by Hyundai",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"DOOR SKINS/SHELLS, HOODS, AND BUMPER COVERS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"DOOR SHELLS, WINDSHIELDS, HOODS, AND BUMPER COVERS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","RECEIVING PARTS FOR DIFFERENT DEALERS, BUT IT DOESN'T HAPPEN THAT OFTEN",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"grills, moldings, bumper boxes",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"bumper bars, radiator carriers, grills",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",receive parts for different dealership,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",receive parts for another dealer.,H
Condition of Shipments,What three product types tend to have the most damages to the product?,BODY PARTS  SMALL PARTS BECAUSE THEY GET PACKED WITH PARTS THAT THEY SHOULDNT WHICH CAUSES DAMAGE HEAVY PARTS BECAUSE OF POOR HANDLING PRACTICES,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,THIS ANSWER IS FOR BOTH SIDES THEY DO A TERRIBLE JOB AT THE PDC PACKING THE ORDERS AND GLOVIS DOES A POOR JOB HANDLING THEM SO YOU GET KILLED EITHER WAY BOTH RESPONSIBLE 50/50,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,LARGER ITEMS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,BULBS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",WRONG PART IN PACKAGE,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"AC Compressors, Intake Manifolds, and hoods, doors, trunklids, all body parts.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mispicks,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"AC Compressors, Intake Manifolds, and hoods, doors, trunklids, all body parts.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",UNDERPICK AND DIFFERENT DEALERSHIP PARTS,H
